city,center,year,month,day,weekday,menus
つくば市,すこやか給食センター豊里,2026,6,1,月,ごはん 牛乳、とんかつソースがけ、きりぼしだいこんとたけのこのにもの、やさいととうふのみそしる、レモンゼリー※
つくば市,ほがらか給食センター谷田部,2026,6,1,月,やきそば、ミルクパン 牛乳、あげぎょうざ （幼：１こ、小中職：２こ）、ちゅうかサラダ （ちゅうかドレッシング）
つくば市,桜学校給食センター,2026,6,1,月,ソフトフランスパン、しろみざかな レモンペッパーフライ、フレンチサラダ （フレンチしろドレッシング）、ポークラタトゥイユ
つくば市,すこやか給食センター豊里,2026,6,2,火,ミルクパン※、とりにくのマーマレードやき、まめとツナのサラダ （サウザンアイランドドレッシング）、コーンポタージュ
つくば市,ほがらか給食センター谷田部,2026,6,2,火,ごはん 牛乳、ぶたにくのりんごソース、ひじきのごしきに、こんさいのみそしる
つくば市,桜学校給食センター,2026,6,2,火,むぎごはん、めだまやき、あおパパイヤのソムタムサラダ （かんきつドレッシング）、いばらきガパオ
つくば市,すこやか給食センター豊里,2026,6,3,水,ごはん なっとう※、ししゃものなんばんづけ （小2まで1ほん、小3から2ほん）、わかめあえ、しょうがスープ
つくば市,ほがらか給食センター谷田部,2026,6,3,水,はちみつパン 牛乳、とうにゅうコロッケ、コロコロポテトサラダ （コーンクリーミードレッシング）、とりにくのメキシコに
つくば市,桜学校給食センター,2026,6,3,水,はちみつパン、ぶたにくのこうそうやき、シーザーサラダ （シーザーサラダドレッシング）、コーンポタージュ
つくば市,すこやか給食センター豊里,2026,6,4,木,コッペパン キャラメルクリーム、とうにゅうコロッケ、コールスロー （コールスロードレッシング）、とりにくとやさいのトマトにこみ
つくば市,ほがらか給食センター谷田部,2026,6,4,木,ごはん 牛乳、パイタやき、チキンとチンゲンサイのサラダ （わふうクリーミードレッシング）、けんちんじる
つくば市,桜学校給食センター,2026,6,4,木,つくばうどん （ソフトめん）、やさいかきあげ、のりずあえ （ぽんず）
つくば市,すこやか給食センター豊里,2026,6,5,金,むぎごはん、ガパオ、かぼちゃサラダ （ノンエッグマヨネーズ）、こまつなのスープ
つくば市,ほがらか給食センター谷田部,2026,6,5,金,きつねうどん（ソフトめん）、のむヨーグルト、ココアあげパン、もやしとピーマンのしおこんぶ あえ
つくば市,桜学校給食センター,2026,6,5,金,ごはん、とりにくのふくれからあげ、うめあえ、なつやさいのみそしる
つくば市,すこやか給食センター豊里,2026,6,8,月,ごはん、ぶたキムチいため、ナムル （しおドレッシング）、はるさめとチンゲンサイのスープ
つくば市,ほがらか給食センター谷田部,2026,6,8,月,ごはん 牛乳、いかのさらさあげ、しんたまねぎのサラダ （わふうフレンチドレッシング）、なつやさいのみそしる
つくば市,桜学校給食センター,2026,6,8,月,ペンネミートソース、フォカッチャ、「イタリア かぼちゃコロッケ、グリーンサラダ （イタリアンドレッシング）
つくば市,すこやか給食センター豊里,2026,6,9,火,くろパン、ハンバーグラタトゥイユソース、バジルソテー、コンソメスープ
つくば市,ほがらか給食センター谷田部,2026,6,9,火,セサミパン 牛乳、おさかなかまぼこやき （幼～小２：１こ、小３～中職：２こ）、やさいのとうにゅうポタージュ、さくらんぼのジュレ
つくば市,桜学校給食センター,2026,6,9,火,ごはん、てりやきチキン、たことわかめのサラダ、とんじる
