city,center,year,month,day,weekday,menus
龍ケ崎市,A献立,2026,5,1,金,ご飯、牛乳、ハンバーグおろしソース、小松菜のおひたし、山菜汁、柏もち
龍ケ崎市,B献立,2026,5,1,金,揚げパン、牛乳、ツナサラダ、ミートボールのトマト煮、ヨーグルト
龍ケ崎市,A献立,2026,5,7,木,ご飯、牛乳、春巻き、りっちゃんサラダ、豆腐の中華煮
龍ケ崎市,B献立,2026,5,7,木,ご飯、牛乳、ハンバーグおろしソース、小松菜のおひたし、山菜汁、柏もち
龍ケ崎市,A献立,2026,5,8,金,キーマカレーライス、牛乳、カラフルサラダ、パインアップル
龍ケ崎市,B献立,2026,5,8,金,たけのこご飯(麦ご飯･たけのこご飯の具)、牛乳、かつおメンチカツ、ちくわのみそ汁
龍ケ崎市,A献立,2026,5,11,月,タコライス、牛乳、コーンサラダ、イナムドゥチ
龍ケ崎市,B献立,2026,5,11,月,コッペパン、キャラメルクリーム、牛乳、鶏肉のバジル焼き、パスタサラダ、ミネストローネ
龍ケ崎市,A献立,2026,5,12,火,コッペパン、牛乳、ミートボール、グリーンサラダ、じゃがいものポタージュ
龍ケ崎市,B献立,2026,5,12,火,ご飯、牛乳、さばの塩麹カレー焼き、五目きんぴら、龍ケ崎とんトマみそ汁
龍ケ崎市,A献立,2026,5,13,水,ご飯、牛乳、あじフリッター、ひじきサラダ、カレー肉じゃが
龍ケ崎市,B献立,2026,5,13,水,豆乳担々ラーメン、牛乳、あんまん、中華サラダ
龍ケ崎市,A献立,2026,5,14,木,ご飯、牛乳、しゅうまい、くらげサラダ、八宝菜
龍ケ崎市,B献立,2026,5,14,木,ご飯、牛乳、ミルメーク（ココア）、鶏肉のから揚げ、しゃぶしゃぶサラダ、春雨スープ
龍ケ崎市,A献立,2026,5,15,金,麦ご飯、牛乳、ミルメーク（ココア）、鶏肉のから揚げ、しゃぶしゃぶサラダ、春雨スープ
龍ケ崎市,B献立,2026,5,15,金,キーマカレーライス、牛乳、カラフルサラダ、パインアップル
龍ケ崎市,A献立,2026,5,18,月,はちみつパン、牛乳、ポークビーンズ、れんこんサラダ、アルファベットスープ
龍ケ崎市,B献立,2026,5,18,月,ご飯、牛乳、しゅうまい、くらげサラダ、八宝菜
龍ケ崎市,A献立,2026,5,19,火,ご飯、牛乳、さばの塩麹カレー焼き、五目きんぴら、龍ケ崎とんトマみそ汁
龍ケ崎市,B献立,2026,5,19,火,コッペパン、牛乳、ミートボール、グリーンサラダ、じゃがいものポタージュ
龍ケ崎市,A献立,2026,5,20,水,揚げパン、牛乳、ツナサラダ、ミートボールのトマト煮、ヨーグルト
龍ケ崎市,B献立,2026,5,20,水,タコライス、牛乳、コーンサラダ、イナムドゥチ
龍ケ崎市,A献立,2026,5,21,木,ご飯、牛乳、豚肉とごぼうのしょうが炒め、わかめスープ、さくらんぼゼリー
龍ケ崎市,B献立,2026,5,21,木,ご飯、牛乳、春巻き、りっちゃんサラダ、豆腐の中華煮
龍ケ崎市,A献立,2026,5,22,金,ハヤシライス、発酵乳（ストロベリー）、オムレツ、花野菜サラダ
龍ケ崎市,B献立,2026,5,22,金,肉たまごそぼろ丼、牛乳、枝豆のサラダ、どさんこ汁
龍ケ崎市,A献立,2026,5,25,月,コッペパン、キャラメルクリーム、牛乳、鶏肉のバジル焼き、パスタサラダ、ミネストローネ
龍ケ崎市,B献立,2026,5,25,月,ご飯、牛乳、あじフリッター、ひじきサラダ、カレー肉じゃが
龍ケ崎市,A献立,2026,5,26,火,たけのこご飯(ご飯･たけのこご飯の具)、牛乳、かつおメンチカツ、ちくわのみそ汁
龍ケ崎市,B献立,2026,5,26,火,はちみつパン、牛乳、ポークビーンズ、れんこんサラダ、アルファベットスープ
龍ケ崎市,A献立,2026,5,27,水,豆乳担々ラーメン、牛乳、あんまん、中華サラダ
龍ケ崎市,B献立,2026,5,27,水,ご飯、牛乳、ミルメーク（コーヒー）、鶏肉のから揚げ、ブロッコリーのおかか和え、豚汁
龍ケ崎市,A献立,2026,5,28,木,ご飯、牛乳、ミルメーク（コーヒー）、鶏肉のから揚げ、ブロッコリーのおかか和え、豚汁
龍ケ崎市,B献立,2026,5,28,木,ご飯、牛乳、豚肉とごぼうのしょうが炒め、わかめスープ、さくらんぼゼリー
龍ケ崎市,A献立,2026,5,29,金,肉たまごそぼろ丼、牛乳、枝豆のサラダ、どさんこ汁
龍ケ崎市,B献立,2026,5,29,金,ハヤシライス、発酵乳（ストロベリー）、オムレツ、花野菜サラダ
