city,center,year,month,day,weekday,menus
取手市,小学校（旧取手地区）,2026,3,2,月,麦、ポークカレー、海藻サラダ（玉ねぎドレッシング）
取手市,小学校（旧取手地区）,2026,3,3,火,ハンバーグのみそソースかけ、菜の花のごま和え、かきたま汁
取手市,小学校（旧取手地区）,2026,3,4,水,白身魚のレモンしょうゆかけ、ざくざくキャベツ、豚汁
取手市,小学校（旧取手地区）,2026,3,5,木,生揚げの中華煮、鶏団子スープ
取手市,小学校（旧取手地区）,2026,3,6,金,ちゃんぽんうどん（ソフト麺、）、（ちゃんぽんスープ）、春巻き、ハムと大根のサラダ（塩中華ドレッシング）
取手市,小学校（旧取手地区）,2026,3,9,月,麦、プルコギ、チンゲン菜のスープ
取手市,小学校（旧取手地区）,2026,3,10,火,鯖のしょうが煮、昆布あえ、なめこ汁
取手市,小学校（旧取手地区）,2026,3,11,水,きなこ揚、げパン、ハムとキャベツのクリーム煮、ブロッコリーのガーリックソテー
取手市,小学校（旧取手地区）,2026,3,12,木,餃子、サンラータン、酸辣湯
取手市,小学校（旧取手地区）,2026,3,13,金,焼、じゃがいもとアスパラのサラダ（ごまドレッシング）
取手市,小学校（旧取手地区）,2026,3,16,月,鶏肉のから揚げ、糸かまぼこの甘酢あえ、すまし汁、お祝いデザート
取手市,小学校（旧取手地区）,2026,3,18,水,ミルクパン、豚肉のケチャップ炒め、粉ふきいも、野菜スープ
取手市,小学校（旧取手地区）,2026,3,19,木,麦、さわらのみそマヨネーズ焼き、茎わかめの炒め煮、けんちん汁
取手市,小学校（旧取手地区）,2026,3,23,月,ハッシュドポーク、コールスロー（コールスロードレッシング）、ヨーグルト
