city,center,year,month,day,weekday,menus
守谷市,Aブロック,2026,6,2,,のりとキャベツのチョレギサラダ、ちゅうかふうコーンスープ、ミルクパン、タンドリーチキン
守谷市,Bブロック,2026,6,2,,新ごぼうと牛肉のいために、生あげときぬさやのみそしる、ごはん、チキンカツトマトソース
守谷市,Cブロック,2026,6,2,,とり肉のから揚げ、ポテトツナサラダ、ヨーグルト、ごはん、いかのチリソース
守谷市,Aブロック,2026,6,3,,ペンネのたらこクリームソース、キャベツのコンソメスープ、ごはん、ハンバーグ玉ねぎソース
守谷市,Bブロック,2026,6,3,,ひじきサラダ、しょうがスープ、ごはん、歯と口の健康週間
守谷市,Cブロック,2026,6,3,,のりとキャベツのチョレギサラダ、ちゅうかふうコーンスープ、ミルクパン、タンドリーチキン
守谷市,Aブロック,2026,6,4,,大根サラダ、すましじる、スパゲティナポリタン
守谷市,Bブロック,2026,6,4,,あじフライソースがけ、五目きんぴら、とうふとわかめのみそしる、ごはん、にらまんじゅう（１こ、２こ）
守谷市,Cブロック,2026,6,4,,ペンネのたらこクリームソース、キャベツのコンソメスープ、ごはん、みそカツ
守谷市,Aブロック,2026,6,5,,とり肉のから揚げ、ポテトツナサラダ、ごはん、あじフライソースがけ
守谷市,Bブロック,2026,6,5,,チンジャオロースー、とりがらちゅうかスープ、コッペパン
守谷市,Cブロック,2026,6,5,,もやしサラダ、けんちんじる、ソフトめん、かぼちゃの天ぷら
守谷市,Aブロック,2026,6,6,,五目きんぴら、とうふとわかめのみそしる、ごはん、さばのうめに
守谷市,Bブロック,2026,6,6,,ナタデココいりさくらんぼゼリーあえ、水菜とパプリカのサラダ、コーンクリームシチュー、ごはん、いかのチリソース
守谷市,Cブロック,2026,6,6,,しょうがあえ、山菜入り肉うどんじる、麦ごはん、こおりどうふのたまごとじに
守谷市,Aブロック,2026,6,9,,新ごぼうと牛肉のいために、生あげときぬさやのみそしる、アップルパン、ぶた肉とセロリのケチャップ炒め
守谷市,Bブロック,2026,6,9,,のりとキャベツのチョレギサラダ、ちゅうかふうコーンスープ、ごはん、♥いばらき美味（おい）しおDayメニュー（減塩の日）♥、とり肉の塩こうじやき
守谷市,Cブロック,2026,6,9,,りっちゃんサラダ、なめこのにぼしみそしる、ごはん、茨城県産、県産メロン、マスタードドレッシングサラダ
守谷市,Aブロック,2026,6,10,,アスパラガスのクルトンサラダ、ぐだくさんチキンスープ、麦ごはん、こおりどうふのたまごとじに
守谷市,Bブロック,2026,6,10,,ひじきと大豆のにもの、守谷生まれとんじる、ごはん、茨城県産、県産メロン、マスタードドレッシングサラダ
守谷市,Cブロック,2026,6,10,,スパイスポークカレー、黒パン、ますのコーンマヨネーズやき
守谷市,Aブロック,2026,6,11,,りっちゃんサラダ、なめこのにぼしみそしる、ごはん、茨城県産、県産メロン、マスタードドレッシングサラダ
守谷市,Bブロック,2026,6,11,,スパイスポークカレー、ソフトめん、かぼちゃの天ぷら
守谷市,Cブロック,2026,6,11,,ブロッコリーのガーリックソテー、米粉とうにゅうスープ、ごはん、にらまんじゅう（２こ）
守谷市,Aブロック,2026,6,12,,スパイスポークカレー、ソフトめん、かぼちゃの天ぷら
守谷市,Bブロック,2026,6,12,,しょうがあえ、山菜入り肉うどんじる、黒パン、ますのコーンマヨネーズやき
守谷市,Cブロック,2026,6,12,,チンジャオロースー、とりがらちゅうかスープ、ごはん、あげさばのきのこソースがけ
守谷市,Aブロック,2026,6,13,,しょうがあえ、山菜入り肉うどんじる、ごはん、みそカツ
守谷市,Bブロック,2026,6,13,,ブロッコリーのガーリックソテー、米粉とうにゅうスープ、麦ごはん、こおりどうふのたまごとじに
守谷市,Cブロック,2026,6,13,,切り干し大根のにもの、ごまみそしる、ごはん、さばのうめに
守谷市,Aブロック,2026,6,16,,もやしサラダ、けんちんじる、黒パン、ますのコーンマヨネーズやき
守谷市,Bブロック,2026,6,16,,りっちゃんサラダ、なめこのにぼしみそしる、ごはん、ハンバーグ玉ねぎソース
守谷市,Cブロック,2026,6,16,,新ごぼうと牛肉のいために、生あげときぬさやのみそしる、ごはん、チキンカツトマトソース
守谷市,Aブロック,2026,6,17,,ブロッコリーのガーリックソテー、米粉とうにゅうスープ、ごはん、♥いばらき美味（おい）しおDayメニュー（減塩の日）♥、とり肉の塩こうじやき
守谷市,Bブロック,2026,6,17,,大根サラダ、すましじる、ごはん、フルーツの守谷ヨーグルトあえ
守谷市,Cブロック,2026,6,17,,ひじきサラダ、しょうがスープ、アップルパン、ぶた肉とセロリのケチャップ炒め
守谷市,Aブロック,2026,6,18,,ひじきと大豆のにもの、守谷生まれとんじる、ごはん、守谷生まれ献立（ヨーグルト）、フルーツの守谷ヨーグルトあえ
守谷市,Bブロック,2026,6,18,,春雨サラダ、生あげのちゅうかに、ごはん
守谷市,Cブロック,2026,6,18,,アスパラガスのクルトンサラダ、ぐだくさんチキンスープ
守谷市,Aブロック,2026,6,19,,春雨サラダ、生あげのちゅうかに
守谷市,Bブロック,2026,6,19,,みそカツ、もやしサラダ、けんちんじる
守谷市,Cブロック,2026,6,19,,五目きんぴら、とうふとわかめのみそしる、ソフトめん、ぶどうとソーダのあじさいゼリー
守谷市,Aブロック,2026,6,20,,もやしとほうれんそうのサラダ、かぼちゃのみそしる、ごはん、あげさばのきのこソースがけ
守谷市,Bブロック,2026,6,20,,ペンネのたらこクリームソース、キャベツのコンソメスープ、スパゲティナポリタン
守谷市,Cブロック,2026,6,20,,ほうれん草のごまあえ、カレーうどんスープ、ごはん、ぶた肉とキャベツのみそいため
守谷市,Aブロック,2026,6,23,,切り干し大根のにもの、ごまみそしる、コッペパン、ナタデココいりさくらんぼゼリーあえ
守谷市,Bブロック,2026,6,23,,とり肉のから揚げ、ポテトツナサラダ、ごはん、ぶた肉とキャベツのみそいため
守谷市,Cブロック,2026,6,23,,もやしとほうれんそうのサラダ、かぼちゃのみそしる、ごはん、とりのからあげ香味ソース
守谷市,Aブロック,2026,6,24,,水菜とパプリカのサラダ、コーンクリームシチュー、ごはん、にらまんじゅう（１こ２こ）
守谷市,Bブロック,2026,6,24,,もやしとほうれんそうのサラダ、かぼちゃのみそしる、ごはん、とりのからあげ香味ソース
守谷市,Cブロック,2026,6,24,,しらたきのいために、五目スープ、コッペパン、ナタデココいりさくらんぼゼリーあえ
守谷市,Aブロック,2026,6,25,,チンジャオロースー、とりがらちゅうかスープ、ごはん、とりのからあげ香味ソース
守谷市,Bブロック,2026,6,25,,しらたきのいために、五目スープ、ソフトめん、ぶどうとソーダのあじさいゼリー
守谷市,Cブロック,2026,6,25,,水菜とパプリカのサラダ、コーンクリームシチュー、ごはん、ハンバーグ玉ねぎソース
守谷市,Aブロック,2026,6,26,,しらたきのいために、五目スープ、ソフトめん、ぶどうとソーダのあじさいゼリー
守谷市,Bブロック,2026,6,26,,ほうれん草のごまあえ、カレーうどんスープ、アップルパン、ぶた肉とセロリのケチャップ炒め
守谷市,Cブロック,2026,6,26,,大根サラダ、すましじる、♥いばらき美味（おい）しおDayメニュー（減塩の日）♥、ごはん、とり肉の塩こうじやき
守谷市,Aブロック,2026,6,27,,ほうれん草のごまあえ、カレーうどんスープ、ごはん、チキンカツトマトソース
守谷市,Bブロック,2026,6,27,,アスパラガスのクルトンサラダ、ぐだくさんチキンスープ、ごはん、あげさばのきのこソースがけ
守谷市,Cブロック,2026,6,27,,ひじきと大豆のにもの、守谷生まれとんじる、ごはん、フルーツの守谷ヨーグルトあえ
守谷市,Aブロック,2026,6,30,,ひじきサラダ、しょうがスープ、６月は食育月間です、6月４日～10日は、歯と口の健康週間です
守谷市,Bブロック,2026,6,30,,切り干し大根のにもの、ごまみそしる、６月は食育月間です、6月４日～10日は、歯と口の健康週間です
守谷市,Cブロック,2026,6,30,,春雨サラダ、生あげのちゅうかに、６月は食育月間です、6月４日～10日は、歯と口の健康週間です
